Data,1466.12,604.355,1479939981030
End,1457.55,600.154,1479939981046
Begin,1370.22,614.389,1479939981076
Data,1361.76,618.251,1479939981090
End,1344.82,625.974,1479939981103
Begin,1391.1,652.864,1479939981148
End,1387.38,663.522,1479939981166
Begin,1370.87,640.857,1479939981224
Data,1375.39,642.685,1479939981256
End,1384.43,646.341,1479939981283
Begin,1415.46,641.115,1479939981317
Data,1420.83,638.767,1479939981345
Data,1419.61,637.849,1479939981359
Data,1417.85,638.611,1479939981390
End,1414.34,640.135,1479939981404
Begin,1450.62,724.029,1479939981585
Data,1430.85,721.962,1479939981615
End,1391.33,717.829,1479939981630
Begin,1360.52,893.288,1479939981885
End,1346.51,886.884,1479939981900
Begin,1378.59,909.32,1479939982137
Data,1372.66,903.385,1479939982154
Data,1367.23,894.938,1479939982200
Data,1369.05,895.025,1479939982214
Data,1366.61,890.012,1479939982244
Data,1366.79,893.347,1479939982259
Data,1366.2,886.596,1479939982289
End,1365.03,873.095,1479939982305
Begin,1041.74,933.4,1479939982649
End,1039.86,930.138,1479939982665
Begin,1080.84,949.724,1479939982947
Data,1084,950.633,1479939982965
End,1090.32,952.451,1479939982979
Begin,1079.37,970.343,1479939983083
Data,1081.36,971.19,1479939983101
End,1085.36,972.882,1479939983114
Begin,1085.14,972.78,1479939983172
Data,1084.02,975.617,1479939983190
End,1081.79,981.289,1479939983205
Begin,1081.06,988.658,1479939983262
Data,1081.62,994.917,1479939983279
End,1082.73,1007.43,1479939983295
Begin,1071.56,1009.19,1479939983339
Data,1069.31,1009,1479939983352
Data,1069.72,1005.71,1479939983386
Data,1073.81,1002.99,1479939983398
Data,1078.56,1002.31,1479939983415
Data,1083.06,1000.46,1479939983430
Data,1084.62,999.442,1479939983442
Data,1084.75,998.634,1479939983461
Data,1084.04,1001.72,1479939983474
Data,1082.81,1001.17,1479939983487
Data,1082.01,999.723,1479939983505
End,-nan(ind),-nan(ind),1479939983549
Begin,1059.47,1006.19,1479939983756
Data,1063.37,1005.27,1479939983789
End,1071.18,1003.43,1479939983802
Begin,1038.18,1022.22,1479939983847
Data,1048.32,1012.22,1479939983879
Data,1050.18,1010.94,1479939983892
Data,1056.73,1012.18,1479939983909
Data,1069.74,1009,1479939983924
Data,1075.65,1008.07,1479939983937
Data,1075.04,1007.7,1479939983954
Data,1080.87,1003.27,1479939983983
Data,1084.13,1002.42,1479939984000
Data,1087.06,1003.66,1479939984014
Data,1090.31,1005.27,1479939984027
Data,1093.56,1007.25,1479939984044
Data,1097.05,1007.26,1479939984059
Data,1097.82,1006.12,1479939984072
Data,1096.83,1006.72,1479939984089
Data,1095.15,1010.12,1479939984105
Data,1095.48,1012.4,1479939984136
Data,1092.55,1013.52,1479939984149
Data,1092.28,1015.09,1479939984162
Data,1095.1,1015.44,1479939984179
Data,1096.31,1015.33,1479939984194
Data,1090.58,1011.67,1479939984224
Data,1088.84,1011.06,1479939984240
Data,1083.57,1022.53,1479939984285
Data,1079.51,1027.71,1479939984297
Data,1075.04,1033.32,1479939984314
Data,1075.44,1035.53,1479939984329
Data,1075.26,1039.19,1479939984342
Data,1072.7,1042.46,1479939984360
Data,1067.26,1046.87,1479939984375
Data,1066.03,1048.67,1479939984387
Data,1069.35,1052.79,1479939984405
Data,1071.38,1051.86,1479939984433
Data,1070.96,1049.48,1479939984449
End,-nan(ind),-nan(ind),1479939984476
Begin,1087.36,1061.46,1479939984854
Data,1084.28,1062.84,1479939984883
Data,1085.97,1061.64,1479939984899
Data,1089.3,1056.25,1479939984914
End,1095.95,1045.46,1479939984927
Begin,1078.64,1050.31,1479939984974
End,-nan(ind),-nan(ind),1479939985003
Begin,1019.87,579.235,1479939985859
Data,1021.82,572.906,1479939985888
Data,1023.32,566.34,1479939985904
Data,1026.01,562.66,1479939985934
Data,1027.93,557.281,1479939985948
Data,1026.41,557.252,1479939985978
Data,1026.93,561.424,1479939985994
End,-nan(ind),-nan(ind),1479939986023
Begin,1046.13,559.554,1479939986129
Data,1046.33,561.565,1479939986158
Data,1047.19,562.773,1479939986174
Data,1044.83,558.256,1479939986203
End,1040.1,549.224,1479939986233
Begin,1057.91,562.901,1479939986265
End,-nan(ind),-nan(ind),1479939986293
Begin,1053.5,740.672,1479939988453
End,-nan(ind),-nan(ind),1479939988497
Begin,1128.98,928.959,1479939997345
Data,1120.47,932.369,1479939997378
Data,1123.93,939.551,1479939997391
Data,1127.19,942.706,1479939997423
Data,1129.44,943.966,1479939997436
Data,1130.95,939.492,1479939997482
End,1133.96,930.545,1479939997500
Begin,1096.92,971.306,1479939997661
Data,1100.04,966.629,1479939997693
Data,1106.33,961.218,1479939997706
Data,1109.33,962.963,1479939997738
Data,1110.64,962.303,1479939997751
Data,1117.39,956.335,1479939997785
Data,1121.2,956.739,1479939997797
End,1128.83,957.547,1479939997815
Begin,1149.89,969.846,1479939997976
Data,1152,968.456,1479939998008
Data,1146.42,965.323,1479939998020
Data,1142.79,965.208,1479939998054
End,1135.51,964.978,1479939998084
Begin,1135.92,959.401,1479939998111
Data,1131.48,958.589,1479939998143
Data,1120.31,962.837,1479939998156
Data,1116.28,961.801,1479939998189
Data,1117.71,953.211,1479939998201
Data,1123.48,942.843,1479939998235
Data,1125.13,939.603,1479939998247
End,1128.44,933.122,1479939998264
Begin,1092.79,982.54,1479939999462
End,1083.95,991.939,1479939999479
Begin,1093.3,1035.74,1479939999551
Data,1089.13,1032.13,1479939999585
Data,1084.83,1033.56,1479939999596
Data,1087.06,1032.16,1479939999613
End,1091.51,1029.35,1479939999629
Begin,1050.63,974.5,1479939999822
Data,1050.93,973.279,1479939999854
End,1051.51,970.839,1479939999885
Begin,1033.32,980.723,1479939999956
End,-nan(ind),-nan(ind),1479939999989
Begin,1052.66,975.366,1479940000046
End,-nan(ind),-nan(ind),1479940000079
Begin,1051.84,664.594,1479940000407
Data,1042.44,667.221,1479940000439
Data,1030.32,671.577,1479940000451
End,1006.06,680.291,1479940000485
Begin,1113.27,833.412,1479940000902
Data,1116.46,839.359,1479940000936
End,1122.83,851.252,1479940000946
Begin,1098.19,779.239,1479940001172
End,-nan(ind),-nan(ind),1479940001204
Begin,1050.07,771.212,1479940001306
Data,1057.83,771.113,1479940001338
End,1073.35,770.916,1479940001351
Begin,1035.88,751.625,1479940001396
Data,1043.53,749.834,1479940001428
End,1058.83,746.251,1479940001441
Begin,1030.33,745.608,1479940001575
Data,1030.75,743.427,1479940001608
Data,1024.65,747.858,1479940001621
Data,1026.09,753.117,1479940001653
End,1028.99,763.634,1479940001684
Begin,1014.17,759.286,1479940001710
Data,1019.71,753.885,1479940001743
Data,1021.31,751.052,1479940001755
Data,1025.5,749.29,1479940001788
Data,1031.32,748.456,1479940001802
Data,1037.26,752.59,1479940001836
Data,1045.05,752.549,1479940001852
Data,1048.84,752.652,1479940001880
Data,1049.46,750.341,1479940001896
Data,1051.2,745.099,1479940001924
Data,1049.46,747.928,1479940001936
Data,1051.24,747.278,1479940001982
End,1054.8,745.979,1479940001998
Begin,1050.14,753.574,1479940002026
Data,1045.83,754.344,1479940002058
Data,1046.24,753.958,1479940002071
Data,1045.28,753.044,1479940002103
End,1043.38,751.217,1479940002134
Begin,1045.36,748.397,1479940002161
Data,1057.86,748.096,1479940002193
Data,1068.27,747.916,1479940002206
Data,1072.24,745.452,1479940002238
Data,1071.98,743.92,1479940002250
Data,1080.74,736.372,1479940002286
Data,1090.38,735.117,1479940002296
Data,1092.09,742.157,1479940002329
Data,1093.1,741.17,1479940002340
Data,1097.72,742.019,1479940002373
Data,1104.27,744.215,1479940002386
Data,1097.78,742.668,1479940002432
End,1084.79,739.576,1479940002448
Begin,1096.05,732.36,1479940002476
Data,1101.95,733.996,1479940002508
