Begin,317.556,278.338,1479531069849
Data,319.732,272.143,1479531069881
Data,315.141,267.407,1479531069894
Data,304.779,269.095,1479531069911
Data,288.956,275.926,1479531069925
Data,275.141,286.976,1479531069939
Data,265.299,293.067,1479531069955
End,245.614,305.25,1479531069970
Begin,262.079,316.961,1479531070030
End,297.627,308.09,1479531070046
Begin,1209.78,590.211,1479531070239
Data,1207.63,590.958,1479531070254
Data,1209.01,593.101,1479531070270
Data,1214.84,593.613,1479531070285
Data,1218.49,589.174,1479531070299
Data,1227.93,583.165,1479531070330
Data,1233.79,578.544,1479531070343
Data,1241.45,576.245,1479531070359
Data,1256.43,573.718,1479531070374
End,1286.4,568.664,1479531070388
Begin,1353.94,549.698,1479531070449
End,-nan(ind),-nan(ind),1479531070494
Begin,1233.88,378.659,1479531070645
Data,1248.64,386.951,1479531070659
End,1278.15,403.535,1479531070675
Begin,1330.22,383.988,1479531070704
Data,1328.96,385.135,1479531070719
Data,1328.12,385.9,1479531070734
Data,1314.31,393.567,1479531070749
Data,1300.7,401.274,1479531070781
End,1273.49,416.688,1479531070794
Begin,1319.18,393.872,1479531070839
Data,1323.07,391.008,1479531070855
Data,1322.79,390.173,1479531070870
Data,1322.08,390.763,1479531070884
End,1320.66,391.943,1479531070900
Begin,998.88,713.043,1479531071455
Data,979.937,707.52,1479531071485
End,942.051,696.476,1479531071500
Begin,253.131,361.637,1479531071801
Data,247.35,349.894,1479531071830
Data,241.322,336.063,1479531071845
Data,226.606,312.09,1479531071874
Data,217.774,297.522,1479531071891
Data,214.143,294.045,1479531071919
Data,212.615,294.494,1479531071936
End,-nan(ind),-nan(ind),1479531071980
Begin,1072.58,413.377,1479531072219
End,-nan(ind),-nan(ind),1479531072250
Begin,1330.77,432.2,1479531072504
Data,1323.21,434.969,1479531072535
Data,1312.74,442.923,1479531072549
Data,1306.68,449.174,1479531072581
Data,1309.43,448.415,1479531072593
Data,1314.43,448.721,1479531072625
Data,1307.85,456.126,1479531072639
Data,1303.36,460.335,1479531072670
Data,1309.73,456.324,1479531072684
Data,1302.55,457.395,1479531072729
End,1288.18,459.536,1479531072746
Begin,429.762,347.972,1479531073043
End,394.642,333.738,1479531073060
Begin,254.43,325.238,1479531073133
End,260.222,327.168,1479531073150
Begin,248.047,301.948,1479531073209
Data,247.695,291.169,1479531073223
End,246.992,269.611,1479531073239
Begin,216.237,223.609,1479531073359
End,215.493,214.502,1479531073375
Begin,319.779,323.603,1479531073419
Data,323.138,320.131,1479531073436
End,329.855,313.186,1479531073449
Begin,292.634,261.194,1479531073493
End,292.457,255.34,1479531073509
Begin,235.577,357.229,1479531073796
End,198.98,381.15,1479531073808
Begin,280.048,207.736,1479531073854
Data,285.052,223.571,1479531073869
Data,281.2,217.611,1479531073885
End,273.497,205.692,1479531073899
Begin,119.939,142.042,1479531073975
Data,124.244,147.153,1479531073989
Data,129.813,149.796,1479531074004
Data,136.516,147.66,1479531074020
Data,146.215,146.896,1479531074033
Data,154.415,146.448,1479531074049
Data,172.888,157.798,1479531074080
Data,176.114,163.656,1479531074094
Data,176.881,169.383,1479531074109
Data,173.071,170.679,1479531074123
Data,173.262,170.093,1479531074139
Data,182.314,184.6,1479531074155
End,200.418,213.615,1479531074169
Begin,165.74,154.242,1479531074200
Data,161.142,150.842,1479531074231
Data,164.066,143.319,1479531074246
End,169.912,128.272,1479531074258
Begin,199.314,166.792,1479531074290
Data,197.925,165.944,1479531074304
Data,199.44,165.564,1479531074320
Data,199.81,163.731,1479531074335
Data,198.619,157.936,1479531074349
Data,197.715,152.693,1479531074381
Data,199.438,152.775,1479531074394
Data,206.596,152.936,1479531074409
Data,212.473,155.921,1479531074425
Data,215.57,153.922,1479531074439
Data,207.286,144.318,1479531074455
Data,206.649,139.32,1479531074470
Data,202.262,120.998,1479531074485
Data,204.323,113.892,1479531074501
End,-nan(ind),-nan(ind),1479531074545
Begin,322.949,22.6377,1479531074861
Data,330.371,33.1632,1479531074876
End,-nan(ind),-nan(ind),1479531074904
Begin,946.933,104.668,1479531075085
Data,953.581,117.619,1479531075100
Data,957.406,122.215,1479531075131
End,965.057,131.407,1479531075146
Begin,960.086,125.968,1479531075204
Data,954.985,135.767,1479531075221
Data,953.896,141.291,1479531075235
Data,957.445,153.753,1479531075250
Data,956.128,163.56,1479531075282
Data,956.039,170.328,1479531075294
Data,969.497,172.675,1479531075311
Data,978.311,174.288,1479531075326
Data,982.606,172.833,1479531075340
Data,986.466,170.025,1479531075356
Data,990.013,168.014,1479531075371
Data,993.179,166.545,1479531075384
Data,987.845,166.791,1479531075401
Data,985.972,162.621,1479531075430
Data,986.925,155.542,1479531075447
Data,989.158,153.651,1479531075461
Data,978.631,155.218,1479531075475
Data,953.457,155.033,1479531075491
End,903.109,154.663,1479531075507
Begin,211.054,157.937,1479531075686
Data,210.145,159.093,1479531075699
Data,214.275,156.221,1479531075731
Data,221.488,154.944,1479531075745
Data,227.654,155.836,1479531075761
Data,232.513,151.1,1479531075775
Data,236.399,148.262,1479531075789
Data,239.861,150.497,1479531075805
Data,242.273,151.555,1479531075820
Data,254.73,139.425,1479531075834
End,279.644,115.163,1479531075850
Begin,900.338,144.682,1479531076089
Data,890.793,138.59,1479531076104
End,871.703,126.406,1479531076120
Begin,998.451,230.31,1479531076194
Data,980.583,226.821,1479531076211
Data,971.794,225.966,1479531076225
Data,967.534,227.531,1479531076239
Data,965.876,227.641,1479531076255
Data,967.787,223.626,1479531076271
Data,971.183,208.345,1479531076284
Data,986.755,186.297,1479531076301
Data,1008.06,170.813,1479531076330
Data,1006.31,168.791,1479531076347
End,1002.83,164.747,1479531076361
Begin,1068.57,132.941,1479531076391
Data,1061.21,130.176,1479531076406
Data,1057.68,117.923,1479531076419
Data,1060,113.4,1479531076436
Data,1060.98,113.131,1479531076451
Data,1059.1,118.41,1479531076482
Data,1057.24,123.106,1479531076496
Data,1055.29,136.635,1479531076510
Data,1061.8,140.786,1479531076526
Data,1066.14,143.554,1479531076541
End,1074.83,149.09,1479531076554
Begin,987.526,135.974,1479531076586
Data,974.536,139.946,1479531076599
Data,970.303,137.929,1479531076632
Data,968.212,137.862,1479531076645
Data,970.609,133.39,1479531076661
Data,980.613,128.91,1479531076677
End,1000.62,119.951,1479531076689
Begin,1017.3,69.9327,1479531076721
End,1011.82,98.1826,1479531076734
Begin,2256.7,2035.31,1479531077035
Data,2256.87,2037.42,1479531077050
Data,2256.98,2038.83,1479531077081
Data,2257.05,2039.77,1479531077094
End,2257.2,2041.65,1479531077112
Begin,172.414,103.939,1479531077622
Data,183.174,116.926,1479531077634
Data,192.983,129.226,1479531077651
Data,185.792,135.934,1479531077680
Data,186.199,140.164,1479531077697
Data,188.864,141.43,1479531077710
Data,205.269,146.619,1479531077724
Data,215.756,151.918,1479531077740
Data,224.377,157.858,1479531077755
Data,235.04,159.999,1479531077769
Data,246.093,163.398,1479531077786
Data,253.386,163.651,1479531077801
Data,254.564,164.478,1479531077832
Data,260.342,158.57,1479531077845
Data,263.519,157.379,1479531077859
Data,271.934,159.602,1479531077875
Data,272.638,172.93,1479531077891
Data,271.296,180.337,1479531077904
Data,267.17,180.386,1479531077920
Data,266.945,178.277,1479531077935
Data,266.304,176.315,1479531077949
Data,261.422,174.151,1479531077981
Data,251.58,184.964,1479531077994
Data,229.793,193.067,1479531078011
Data,207.797,201.657,1479531078025
End,163.807,218.837,1479531078039
Begin,87.4347,133.732,1479531078070
Data,77.8879,126.855,1479531078084
End,58.7942,113.101,1479531078100
Begin,171.718,149.744,1479531078236
Data,161.998,138.212,1479531078250
Data,152.09,121.94,1479531078282
Data,141.784,101.079,1479531078296
End,121.174,59.3589,1479531078308
Begin,75.7568,4.53597,1479531078343
Data,76.1518,-1.11145,1479531078353
Data,58.2438,-17.5409,1479531078370
Data,40.038,-35.3539,1479531078385
End,3.62654,-70.9799,1479531078398
Begin,-5.47894,-81.4804,1479531078444
Data,-6.27458,-82.8422,1479531078460
End,-7.86587,-85.5658,1479531078476
Begin,-40.4381,-142.359,1479531078506
Data,-40.3477,-141.178,1479531078521
Data,-39.0086,-141.733,1479531078533
Data,-31.0226,-134.823,1479531078551
Data,-12.7946,-118.393,1479531078580
End,23.6615,-85.5348,1479531078597
Begin,132.148,81.2906,1479531078624
End,163.044,88.6018,1479531078640
Begin,279.067,309.914,1479531078731
Data,272.833,313.79,1479531078745
Data,264.833,322.555,1479531078758
Data,257.019,326.579,1479531078775
Data,253.782,327.624,1479531078791
Data,254.348,329.689,1479531078802
End,255.482,333.818,1479531078821
Begin,246.005,306.343,1479531078883
Data,241.803,308.12,1479531078892
Data,233.096,309.576,1479531078913
Data,229.422,310.301,1479531078926
Data,226.792,307.856,1479531078938
Data,226.794,316.792,1479531078954
Data,226.921,316.276,1479531078971
